02/25/2021 14:20:58 - WARNING - __main__ -   Process rank: -1, device: cuda, n_gpu: 1, distributed training: False, 16-bits training: False, world size: 1
02/25/2021 14:21:01 - INFO - __main__ -   Model has a total of 125826048 trainable parameters
02/25/2021 14:21:01 - INFO - __main__ -   Training/evaluation parameters Namespace(adam_epsilon=1e-08, block_size=512, cache_dir='', config_dir=None, data_dir='../great/', device=device(type='cuda'), do_eval=False, do_lower_case=False, do_train=True, eval_all_checkpoints=False, evaluate_during_training=True, fp16=False, fp16_opt_level='O1', gpu_per_node=1, gradient_accumulation_steps=4, langs='PYTHON', learning_rate=4e-05, load_name='pretrained', local_rank=-1, log_file='varmis.log', logging_steps=100, max_grad_norm=1.0, max_steps=-1, mlm=True, mlm_probability=0.15, n_gpu=1, no_cuda=False, node_index=0, not_pretrain=False, num_train_epochs=20.0, output_dir='./save/varmis', overwrite_cache=False, overwrite_output_dir=True, per_gpu_eval_batch_size=16, per_gpu_train_batch_size=8, pretrain_dir='../.code-bert-cache/codebert-base', save_steps=4000, save_total_limit=None, seed=2233, server_ip='', server_port='', start_epoch=0, start_step=0, tensorboard_dir=None, tokenizer_dir=None, warmup_steps=0, weight_decay=0.01)
02/25/2021 14:21:01 - WARNING - __main__ -   Loading features from cached file ./save/varmis/train_langs_PYTHON_blocksize_512_wordsize_1_rank_0
02/25/2021 14:23:02 - INFO - __main__ -   ***** Running training *****
02/25/2021 14:23:02 - INFO - __main__ -     Num examples = 1645696
02/25/2021 14:23:02 - INFO - __main__ -     Num epoch = 20
02/25/2021 14:23:02 - INFO - __main__ -     Instantaneous batch size per GPU = 8
02/25/2021 14:23:02 - INFO - __main__ -     Total train batch size (w. parallel, distributed & accumulation) = 32
02/25/2021 14:23:02 - INFO - __main__ -     Gradient Accumulation steps = 4
02/25/2021 14:23:02 - INFO - __main__ -     Total optimization steps = 1028560
02/25/2021 14:23:55 - INFO - __main__ -     steps: 100  ppl: 11.4455
02/25/2021 14:24:47 - INFO - __main__ -     steps: 200  ppl: 4.5858
02/25/2021 14:25:39 - INFO - __main__ -     steps: 300  ppl: 4.3759
02/25/2021 14:26:30 - INFO - __main__ -     steps: 400  ppl: 4.5675
02/25/2021 14:27:22 - INFO - __main__ -     steps: 500  ppl: 3.8389
02/25/2021 14:28:14 - INFO - __main__ -     steps: 600  ppl: 3.9806
02/25/2021 14:29:06 - INFO - __main__ -     steps: 700  ppl: 3.6525
02/25/2021 14:29:58 - INFO - __main__ -     steps: 800  ppl: 4.2074
02/25/2021 14:30:50 - INFO - __main__ -     steps: 900  ppl: 3.6867
02/25/2021 14:31:42 - INFO - __main__ -     steps: 1000  ppl: 3.4813
02/25/2021 14:32:33 - INFO - __main__ -     steps: 1100  ppl: 3.6428
02/25/2021 14:33:24 - INFO - __main__ -     steps: 1200  ppl: 3.7245
02/25/2021 14:34:16 - INFO - __main__ -     steps: 1300  ppl: 4.1313
02/25/2021 14:35:10 - INFO - __main__ -     steps: 1400  ppl: 3.4743
02/25/2021 14:36:01 - INFO - __main__ -     steps: 1500  ppl: 3.5521
02/25/2021 14:36:53 - INFO - __main__ -     steps: 1600  ppl: 4.0657
02/25/2021 14:37:44 - INFO - __main__ -     steps: 1700  ppl: 3.6771
02/25/2021 14:38:36 - INFO - __main__ -     steps: 1800  ppl: 3.8428
02/25/2021 14:39:28 - INFO - __main__ -     steps: 1900  ppl: 3.4095
02/25/2021 14:40:20 - INFO - __main__ -     steps: 2000  ppl: 3.3832
02/25/2021 14:41:12 - INFO - __main__ -     steps: 2100  ppl: 3.6188
02/25/2021 14:42:03 - INFO - __main__ -     steps: 2200  ppl: 3.6389
02/25/2021 14:42:55 - INFO - __main__ -     steps: 2300  ppl: 3.4393
02/25/2021 14:43:46 - INFO - __main__ -     steps: 2400  ppl: 3.4217
02/25/2021 14:44:37 - INFO - __main__ -     steps: 2500  ppl: 3.4751
02/25/2021 14:45:27 - INFO - __main__ -     steps: 2600  ppl: 3.5389
02/25/2021 14:46:19 - INFO - __main__ -     steps: 2700  ppl: 3.3687
02/25/2021 14:47:11 - INFO - __main__ -     steps: 2800  ppl: 3.7638
02/25/2021 14:48:03 - INFO - __main__ -     steps: 2900  ppl: 3.3118
02/25/2021 14:48:54 - INFO - __main__ -     steps: 3000  ppl: 3.8595
02/25/2021 14:49:47 - INFO - __main__ -     steps: 3100  ppl: 3.2437
02/25/2021 14:50:39 - INFO - __main__ -     steps: 3200  ppl: 3.4078
02/25/2021 14:51:31 - INFO - __main__ -     steps: 3300  ppl: 3.4261
02/25/2021 14:52:23 - INFO - __main__ -     steps: 3400  ppl: 3.2175
02/25/2021 14:53:16 - INFO - __main__ -     steps: 3500  ppl: 3.397
02/25/2021 14:54:09 - INFO - __main__ -     steps: 3600  ppl: 3.6085
02/25/2021 14:55:00 - INFO - __main__ -     steps: 3700  ppl: 3.2977
02/25/2021 14:55:52 - INFO - __main__ -     steps: 3800  ppl: 3.448
02/25/2021 14:56:43 - INFO - __main__ -     steps: 3900  ppl: 3.132
02/25/2021 14:57:36 - INFO - __main__ -     steps: 4000  ppl: 3.6551
02/25/2021 14:59:03 - INFO - __main__ -     cross_entropy = 1.3667
02/25/2021 14:59:05 - INFO - __main__ -   Saving model checkpoint to ./save/varmis/checkpoint-4000-1.3667
02/25/2021 14:59:11 - INFO - __main__ -   Saving optimizer and scheduler states to ./save/varmis/checkpoint-last
02/25/2021 15:00:08 - INFO - __main__ -     steps: 4100  ppl: 3.4688
02/25/2021 15:01:05 - INFO - __main__ -     steps: 4200  ppl: 3.2599
02/25/2021 15:02:01 - INFO - __main__ -     steps: 4300  ppl: 3.0004
02/25/2021 15:02:57 - INFO - __main__ -     steps: 4400  ppl: 3.212
02/25/2021 15:03:53 - INFO - __main__ -     steps: 4500  ppl: 3.2897
02/25/2021 15:04:50 - INFO - __main__ -     steps: 4600  ppl: 3.365
02/25/2021 15:05:47 - INFO - __main__ -     steps: 4700  ppl: 3.7258
02/25/2021 15:06:43 - INFO - __main__ -     steps: 4800  ppl: 3.3912
02/25/2021 15:07:40 - INFO - __main__ -     steps: 4900  ppl: 3.2454
02/25/2021 15:08:37 - INFO - __main__ -     steps: 5000  ppl: 3.2393
